species,common_name
Zonotrichia albicollis,White-Throated Sparrow
Zenaida macroura,Mourning Dove
Zenaida asiatica,White-Winged Dove
Zapus hudsonius,Meadow Jumping Mouse
Zalophus californianus,California Sea Lion
Vulpes vulpes,Red Fox
Vireo plumbeus,Plumbeus Vireo
Vireo olivaceus,Red-Eyed Vireo
Vireo griseus,White-Eyed Vireo
Vermivora celata,Orange-Crowned Warbler
Ursus maritimus,Polar Bear
Urocyon cinereoargenteus,Gray Fox
Uria lomvia,Thick-Billed Murre
Uria aalge,Common Murre
Tyto alba,Barn Owl
Tympanuchus cupido attwateri,Attwater’s Greater Prarie Chicken
Turdus migratorius,American Robin
Troglodytes aedon,House Wren
Tringa solitaria,Solitary Sandpiper
Tringa melanoleuca,Greater Yellowlegs
Tringa flavipes,Lesser Yellowlegs
Trachemys scripta,Common Slider
Toxostoma rufum,Brown Thrasher
Thryothorus ludovici,Carolina Wren
Thamnophis sirtalis,Garter Snake
Thamnophis sauritus,Ribbon Snake
Thamnophis proximus,Western Ribbon Snake
Terrapene carolina,Eastern Box Turtle
Tamiasciurus hudsonicus,Red Squirrel
Tamias striatus,Eastern Chipmunk
Tachycineta thalassina,Violet-Green Swallow
Tachycineta bicolor,Tree Swallow
Synthiloboramphus antiquus,Ancient Murrelet
Sylvilagus palustris,Marsh Rabbit
Sylvilagus floridanus,Cottontail Rabbit
Sula sula,Red-Footed Booby
Sula bassanus,Northern Gannet
Sturnus vulgaris,European Starling
Sturnella neglecta,Western Meadowlark
Sturnella magna,Eastern Meadowlark
Strix varia,Barred Owl
Sternotherus odoratus,Stinkpot
Sternotherus minor minor,Loggerhead Musk Turtle
Sterna sandvicensis,Sandwich Tern
Sterna paradisaea,Arctic Tern
Sterna nilotica,Gull-Billed Tern
Sterna maxima,Royal Tern
Sterna lunata,Gray-Backed Tern
Sterna hirundo,Common Tern
Sterna fuscata,Sooty Tern
Sterna forsteri,Forster's Tern
Sterna elegans,Elegant Tern
Sterna dougallii,Roseate Tern
Sterna caspia,Caspian Tern
Sterna antillarum browni,California Least Tern
Sterna anaethetus,Bridled Tern
Sterna aleutica,Aleutian Tern
Sterna albifrons,Least Tern
Stercorarius pomarinus,Pomarine Jaeger
Stercorarius parasiticus,Parasitic Jaeger
Stercorarius longicaudus,Long-Tailed Jaeger
Spizella passerina,Chipping Sparrow
Spizella arborea,American Tree Sparrow
Spiza americana,Dickcissel
Spermophilus undulatus,Arctic Ground Squirrel
Spermophilus tridecemlin,Thirteen-Lined Ground Squirrel
Spermophilus beecheyi,California Ground Squirrel
Sorex trowbridgii,Trowbridge’s Shrew
Sorex ornatus,Ornate Shrew
Sorex cinereus,Common Shrew
Sorex arcticus,Arctic Shrew
Somateria spectabilis,King Eider
Somateria mollissima,Common Eider
Somateria fischeri,Spectacled Eider
Sitta pusilla,Brown-Headed Nuthatch
Sigmodon hispidus,Hispid Cotton Rat
Sialia sialis,Eastern Bluebird
Setophaga ruticilla,American Redstart
Seiurus noveboracensis,Northern Waterthrush
Seiurus aurocapillus,Ovenbird
Scolopax minor,American Woodcock
Sciurus niger,Fox Squirrel
Sciurus carolinensis,Gray Squirrel
Sceloporus undulatus undulatus,Southern Fence Lizard
Scaphiopus holbrookii,Eastern Spadefoot Toad
Sayornis phoebe,Eastern Phoebe
Rynchops niger,Black Skimmer
Rostrhamus sociabilis,Snail Kite
Rissa tridactyla,Black-Legged Kittiwake
Reithrodontomys megalot,Western Harvest Mouse
Reithrodontomys humulis,Eastern Harvest Mouse
Recurvirostra americana,American Avocet
Rattus rattus,House Rat
Rattus norvegicus,Norway Rat
Rattus exulans,Polynesian Rat
Rana sphenocephala,Southern Leopard Frog
Rana pipiens,Northern Leopard Frog
Rana heckscheri,River Frog
Rana grylio,Pig Frog
Rana clamitans,Green Frog
Rana catesbeiana,Bullfrog
Rana capito,Gopher Frog
Rallus longirostris obsoletus,California Clapper Rail
Rallus longirostris,Clapper Rail
Rallus limicola,Virginia Rail
Rallus elegans,King Rail
Quiscalus quiscula,Common Grackle
Quiscalus mexicanus,Great-Tailed Grackle
Quiscalus major,Boat-Tailed Grackle
Puffinus tenuirostris,Short-Tailed Shearwater
Puffinus pacificus,Wedge-Tailed Shearwater
Puffinus nativitatis,Christmas Shearwater
Puffinus griseus,Sooty Shearwater
Ptychoramphus aleuticus,Cassin’s Auklet
Pterodroma inexpectata,Mottled Petrel
Pterodroma hypoleuca,Bonin Petrel
Pseudemys scripta elegans,Red-Eared Slider
Pseudemys rubriventris,American Red-bellied Turtle
